id;birra;locale;anno;mese;giorno;ora;minuti;secondi;stato
B01;Guinnes;BTavern;2021;2;17;15;19;1;3
A01;Miller;theHome;2021;2;17;15;19;1;1
B01;Guinnes;BTavern;2021;2;17;15;19;6;3
A01;Miller;theHome;2021;2;17;15;19;6;2
B01;Guinnes;BTavern;2021;2;17;15;19;11;3
A01;Miller;theHome;2021;2;17;15;19;11;2
B01;Guinnes;BTavern;2021;2;17;15;19;16;3
A01;Miller;theHome;2021;2;17;15;19;16;2
B01;Guinnes;BTavern;2021;2;17;15;19;21;3
A01;Miller;theHome;2021;2;17;15;19;21;3
B01;Guinnes;BTavern;2021;2;17;15;19;26;3
A01;Miller;theHome;2021;2;17;15;19;26;3
B01;Guinnes;BTavern;2021;2;17;15;19;31;3
A01;Miller;theHome;2021;2;17;15;19;32;1
B01;Guinnes;BTavern;2021;2;17;15;19;36;1
A01;Miller;theHome;2021;2;17;15;19;37;1
B01;Guinnes;BTavern;2021;2;17;15;19;41;1
A01;Miller;theHome;2021;2;17;15;19;42;1
B01;Guinnes;BTavern;2021;2;17;15;19;46;1
A01;Miller;theHome;2021;2;17;15;19;47;1
B01;Guinnes;BTavern;2021;2;17;15;19;51;1
A01;Miller;theHome;2021;2;17;15;19;52;3
B01;Guinnes;BTavern;2021;2;17;15;19;56;1
A01;Miller;theHome;2021;2;17;15;19;57;3
B01;Guinnes;BTavern;2021;2;17;15;20;1;1
A01;Miller;theHome;2021;2;17;15;20;2;3
B01;Guinnes;BTavern;2021;2;17;15;20;6;1
A01;Miller;theHome;2021;2;17;15;20;7;3
A01;Miller;theHome;2021;2;17;15;20;12;3
